[2024-09-01 06:29:30] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-01 06:29:30] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-09-01 06:29:30] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-09-01 06:29:30] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-09-01 06:29:30] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-09-01 06:29:30] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-09-01 06:29:30] [class-ss-setup-task.php:33] Creating archive directory: /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1725172170/
[2024-09-01 06:29:30] [class-ss-setup-task.php:72] Adding origin URL to queue: https://kiddiefashionistas.com/
[2024-09-01 06:29:30] [class-ss-setup-task.php:145] Adding files from directory: /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/.DS_Store to queue as: https://kiddiefashionistas.com/wp-content/.DS_Store
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/index.php to queue as: https://kiddiefashionistas.com/wp-content/index.php
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/.DS_Store to queue as: https://kiddiefashionistas.com/wp-content/plugins/.DS_Store
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/index.php to queue as: https://kiddiefashionistas.com/wp-content/plugins/index.php
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/simply-static/index.php to queue as: https://kiddiefashionistas.com/wp-content/plugins/simply-static/index.php
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo to queue as: https://kiddiefashionistas.com/wp-content/plugins/simply-static/languages/simply-static-fr_FR.mo
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE.po to queue as: https://kiddiefashionistas.com/wp-content/plugins/simply-static/languages/simply-static-de_DE.po
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/simply-static/languages/simply-static-de_DE-simplystatic-settings.json to queue as: https://kiddiefashionistas.com/wp-content/plugins/simply-static/languages/simply-static-de_DE-simplystatic-settings.json
[2024-09-01 06:29:30] [class-ss-setup-task.php:150] Adding file /Users/johnlewiselopre/Local Sites/kiddiefashionistas/app/public/wp-content/plugins/simply-static/languages/simply-static.pot to queue as: https://kiddiefashionistas.com/wp-content/plugins/simply-static/languages/simply-static.pot
